model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
google/gemma-4-26B-A4B-it	random_mid	random	mid	45.2286	540	139.42	moe	ok	True	fused_moe_kernel	sglang::inplace_fused_experts	external_id=11287	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""True"", ""False"", ""False"", ""False"", ""False"", ""False"", ""False"", """", """", """", """", """", """", """", """", """", """", ""False"", """"], ""Input Dims"": [[11254, 2816], [128, 1408, 2816], [128, 2816, 704], [11254, 8], [11254, 8], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[2816, 1], [3964928, 2816, 1], [1982464, 704, 1], [8, 1], [8, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""float"", ""int"", """", """", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """", """", """", """", ""Scalar"", """"]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	6.0547	65	155.06	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::mm	external_id=11313	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[11254, 2816], [2816, 10240]], ""Input Strides"": [[2816, 1], [1, 2816]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	5.4994	270	33.90	gemm	ok	True	_gemma_qkv_rmsnorm_kernel	aten::empty | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	4.6655	25	310.65	quant_gemm	ok	True	nvjet_sm100_tst_128x192_64x7_2x1_2cta_v_bz_TNT	aten::mm	external_id=11413	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[11254, 2816], [2816, 8192]], ""Input Strides"": [[2816, 1], [1, 2816]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	4.0380	1089	6.17	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign16o28161_tensorptrbf16gmemalign128o281628161___True_4__0	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	3.5355	175	33.63	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H256PagedKvSlidingOrChunkedCausalP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::resolve_neg | aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[32]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	3.2078	30	177.99	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x4_1x2_h_bz_TNT	aten::mm	external_id=11562	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[11254, 2816], [2816, 4224]], ""Input Strides"": [[2816, 1], [1, 2816]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	2.1551	270	13.29	other	ok	True	void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)1, true, false>((anonymous namespace)::ActivationParams)	sglang::_run_activation_inplace	external_id=11396	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[], [90032, 1408], [90032, 704]], ""Input Strides"": [[], [1408, 1], [704, 1]], ""Input type"": ["""", ""c10::BFloat16"", ""c10::BFloat16""]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	2.1546	50	71.73	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H256PagedKvSlidingOrChunkedCausalP64VarSeqQ128Kv128PersistentContext	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
google/gemma-4-26B-A4B-it	random_mid	random	mid	2.0458	385	8.85	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::empty | aten::copy_ | aten::floor_divide | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32, 16], [32, 16], []], ""Input Strides"": [[4096, 1], [16, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
