model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	19.2565	4356	26.00	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3	external_id=73520	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	13.2380	232	335.66	gemm	missing	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 16, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	Torch-Compiled Region: 4/3	external_id=73520	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	7.5050	5309	8.32	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	gloo:broadcast | aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 1]"", ""[1, 0]"", """"], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", """"]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	4.2319	3904	6.38	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::copy_ | aten::add | aten::as_strided | aten::index	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[15]"", ""[1]"", ""0""], ""Input Dims"": [[15], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	3.6819	1952	11.10	gemm	ok	True	void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)	aten::copy_ | aten::add | aten::index	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	3.3420	2196	8.95	quant_gemm	missing	True	kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeSwizzledKernel_object_at__tensorptrbf16gmemalign16o716871681_tensorptri8gmemalign16o358435841_tensorptri8gmem_0	Torch-Compiled Region: 4/3	external_id=72998	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	3.3038	2196	8.85	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::as_strided | aten::_local_scalar_dense | aten::arange	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[15]"", ""[1]"", ""0""], ""Input Dims"": [[15], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	2.6916	1508	10.50	quant_gemm	missing	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16tokFp32_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 4/3	external_id=72998	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	2.6126	1952	7.87	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta128PagedKvDenseStaticTokenSparseP1MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen	gloo:broadcast | aten::resolve_neg | aten::fill_ | aten::view | aten::add	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_low	sharegpt	low	2.3653	1392	10.00	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::eq | aten::index | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""1""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""Scalar""]}"
