model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
openai/gpt-oss-120b	random_high	random	high	27.6878	5112	28.49	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 1/3	external_id=16730	{}
openai/gpt-oss-120b	random_high	random	high	10.4864	576	95.77	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x2_2cta_h_bz_splitK_bias_TNN	Torch-Compiled Region: 1/3 | aten::slice	external_id=16730	{}
openai/gpt-oss-120b	random_high	random	high	8.0127	288	146.36	quant_gemm	missing	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_bias_TNT	Torch-Compiled Region: 1/3	external_id=14146	{}
openai/gpt-oss-120b	random_high	random	high	4.6844	1404	17.55	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x8x512u2_s3_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	c10d::broadcast_ | gloo:broadcast | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[18]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
openai/gpt-oss-120b	random_high	random	high	4.1875	1728	12.75	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_bias_TNT	aten::cat	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[128], [2]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
openai/gpt-oss-120b	random_high	random	high	3.9440	1512	13.72	quant_gemm	ok	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x8x256u2_s4_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::resolve_neg | c10d::broadcast_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
openai/gpt-oss-120b	random_high	random	high	3.7442	1728	11.40	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_splitK_bias_TNT	aten::cat | aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[128]], []], ""Input Strides"": [[[1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
openai/gpt-oss-120b	random_high	random	high	3.1830	576	29.07	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x16x256u2_s6_et128x16_m256x16x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	Torch-Compiled Region: 1/3 | aten::slice	external_id=18364	{}
openai/gpt-oss-120b	random_high	random	high	2.8510	2592	5.79	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesClusterKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 4, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 4, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::cat | aten::slice | aten::_to_copy | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""4"", """", """", """", ""False"", """"], ""Input Dims"": [[128], [], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], [], []], ""Input type"": [""int"", ""Scalar"", """", """", """", ""Scalar"", """"]}"
openai/gpt-oss-120b	random_high	random	high	2.2148	612	19.04	quant_gemm	ok	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x16x256_s4_et128x16_m128x16x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 1/3 | aten::slice	external_id=18364	{}
