model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	14.9988	492	609.76	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	record_param_comms | aten::clone | aten::arange | sglang::hadamard_transform	external_id=95057	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[552320], []], ""Input Strides"": [[1], []], ""Input type"": [""float"", """"]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	8.8425	488	362.43	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ32Kv128PersistentSwapsAbForGen	aten::view | aten::mm | nccl:all_reduce | aten::add_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[8630, 32, 576]""], ""Input Dims"": [[8630, 1, 32, 576], []], ""Input Strides"": [[18432, 18432, 576, 1], []], ""Input type"": [""c10::Float8_e4m3fn"", ""ScalarList""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	7.4517	3872	38.49	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3	external_id=83568	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	4.1691	232	359.43	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	nccl:all_reduce | aten::numpy_T | gloo:broadcast | sglang::hadamard_transform | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[448, 1024]], ""Input Strides"": [[1, 448]], ""Input type"": [""c10::Float8_e4m3fn""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	4.0425	4392	18.41	other	ok	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	aten::as_strided | sglang::hadamard_transform	external_id=109568	"{""Concrete Inputs"": ["""", ""0.088388347648318447""], ""Input Dims"": [[8630, 64, 128], []], ""Input Strides"": [[8192, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	3.5833	232	308.93	gemm	missing	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 16, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	Torch-Compiled Region: 4/3	external_id=83568	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	3.5668	4211	16.94	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	sglang::fp4_gemm | PythonDispatchMode | aten::as_strided | sglang::flashinfer_fp4_quantize	external_id=95081	"{""Concrete Inputs"": [""""], ""Input Dims"": [[33161216]], ""Input Strides"": [[1]], ""Input type"": [""int""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	3.4421	232	296.76	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::view | aten::copy_ | gloo:broadcast | nccl:all_reduce | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[-1, 1]""], ""Input Dims"": [[8630, 64, 1], []], ""Input Strides"": [[64, 1, 1], []], ""Input type"": [""float"", ""ScalarList""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	3.2124	812	79.13	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | aten::empty | aten::copy_ | aten::as_strided | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[5092]], ""Input Strides"": [[1]], ""Input type"": [""unsigned char""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	2.5594	1160	44.13	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16tokFp32_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::add | aten::resolve_neg | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[32], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_mid	sharegpt	mid	2.1745	244	178.25	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x4_1x2_h_bz_TNT	aten::mm	external_id=106472	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[8630, 7168], [7168, 2112]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
