model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
openai/gpt-oss-120b	random_mid	random	mid	13.7839	4544	24.20	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 1/3 | aten::zero_	external_id=7819	{}
openai/gpt-oss-120b	random_mid	random	mid	5.2578	3456	12.14	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_bias_TNN	aten::copy_ | aten::cat | aten::_to_copy | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[320], [320], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
openai/gpt-oss-120b	random_mid	random	mid	5.2201	288	144.61	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x128x256u2_s4_et128x32_m256x128x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_lbW8_lsfbW4_dynB_sm100f	Torch-Compiled Region: 1/1 | aten::_to_copy	external_id=9576	{}
openai/gpt-oss-120b	random_mid	random	mid	4.4105	288	122.18	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_bias_TNT	Torch-Compiled Region: 1/3 | aten::zero_	external_id=6218	{}
openai/gpt-oss-120b	random_mid	random	mid	4.2819	288	118.62	quant_gemm	missing	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x128x256u2_s4_et128x64_m256x128x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 1/1	external_id=9576	{}
openai/gpt-oss-120b	random_mid	random	mid	3.7990	592	51.20	norm	missing	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	Torch-Compiled Region: 1/1	external_id=9576	{}
openai/gpt-oss-120b	random_mid	random	mid	3.4627	1404	19.68	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x8x512u2_s3_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": [""[1]"", ""4"", ""0"", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar"", """"]}"
openai/gpt-oss-120b	random_mid	random	mid	3.4535	112	246.02	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
openai/gpt-oss-120b	random_mid	random	mid	3.1776	48	528.18	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o288028801_tensorptrbf16gmemalign16o28801_tensorptrbf16gmemalign128o288028801___True_4__0	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
openai/gpt-oss-120b	random_mid	random	mid	2.8405	1512	14.99	quant_gemm	ok	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x8x256u2_s4_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	detach_ | c10d::broadcast_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
openai/gpt-oss-120b	random_mid	random	mid	2.8067	576	38.88	moe	missing	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	Torch-Compiled Region: 1/1	external_id=9576	{}
openai/gpt-oss-120b	random_mid	random	mid	2.4639	2592	7.58	quant_gemm	ok	True	void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)2, __nv_bfloat16, 32, true, false, false, false, std::integral_constant<bool, false> >(int, int, int, int, __nv_bfloat16 const*, float const*, void*, unsigned int*, flashinfer::QuantizationSFLayout)	Torch-Compiled Region: 1/1 | aten::_to_copy	external_id=9576	{}
