model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
openai/gpt-oss-120b	random_low	random	low	23.0705	5112	13.33	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 1/3 | aten::view	external_id=322	{}
openai/gpt-oss-120b	random_low	random	low	15.4147	4608	9.88	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_bias_TNN	aten::empty_strided	external_id=3368	"{""Concrete Inputs"": [""[1]"", ""[1]"", ""4"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
openai/gpt-oss-120b	random_low	random	low	9.4593	288	96.98	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_bias_TNT	Torch-Compiled Region: 1/3 | aten::view	external_id=322	{}
openai/gpt-oss-120b	random_low	random	low	3.0442	2592	3.47	quant_gemm	ok	True	void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)2, __nv_bfloat16, 32, true, false, false, false, std::integral_constant<bool, false> >(int, int, int, int, __nv_bfloat16 const*, float const*, void*, unsigned int*, flashinfer::QuantizationSFLayout)	Torch-Compiled Region: 1/3 | aten::_index_put_impl_ | aten::empty_like | aten::empty_strided	external_id=322	{}
openai/gpt-oss-120b	random_low	random	low	2.9418	2592	3.35	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	Torch-Compiled Region: 1/3 | aten::view	external_id=322	{}
openai/gpt-oss-120b	random_low	random	low	2.9378	1152	7.53	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x16x256u2_s6_et128x16_m256x16x32_c2x1x1_rM_TN_transOut_schedS_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::argmax | aten::copy_ | aten::resolve_neg | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 201088], [], []], ""Input Strides"": [[201088, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
openai/gpt-oss-120b	random_low	random	low	2.9065	1152	7.45	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H64PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	aten::argmax | aten::view | aten::fill_ | aten::empty_like | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 201088], [], []], ""Input Strides"": [[201088, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
openai/gpt-oss-120b	random_low	random	low	2.7975	144	57.36	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::view | aten::empty_like | aten::sum | aten::empty_strided | aten::copy_	external_id=4008	"{""Concrete Inputs"": ["""", ""[1]""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
openai/gpt-oss-120b	random_low	random	low	2.6552	2016	3.89	quant_gemm	ok	True	nvjet_sm100_tst_24x64_64x16_4x1_v_bz_TNN	aten::empty_strided | aten::as_strided | aten::copy_ | c10d::broadcast_ | aten::sum	external_id=3368	"{""Concrete Inputs"": [""[1]"", ""[1]"", ""4"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
openai/gpt-oss-120b	random_low	random	low	2.5835	2304	3.31	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 4, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 4, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::argmax | aten::as_strided | aten::empty_strided | aten::add | aten::view	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 201088], [], []], ""Input Strides"": [[201088, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
