model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	14.0246	5808	79.60	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3 | Torch-Compiled Region: 4/2	external_id=113285	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	10.3444	2904	117.42	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	Torch-Compiled Region: 4/1 | Torch-Compiled Region: 4/2	external_id=127212	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	7.8459	1392	185.79	quant_gemm	missing	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	Torch-Compiled Region: 4/2 | Torch-Compiled Region: 4/1	external_id=127212	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	7.1136	1856	126.34	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_ | aten::cat | aten::floor_divide	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[3], [3], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long unsigned int"", ""long unsigned int"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	5.0018	3904	42.23	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ16Kv128PersistentSwapsAbForGen	sglang::unified_attention_with_output	external_id=131721	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""48"", """", """", """", """", ""False"", """", """"], ""Input Dims"": [[1536, 16, 512], [1536, 1, 512], [1536, 1, 512], [1536, 8192], [], [], [1536, 16, 64], [1536, 1, 64], [], [164096, 64], [], [], [1536, 2048]], ""Input Strides"": [[512, 786432, 1], [512, 512, 1], [512, 512, 1], [8192, 1], [], [], [3072, 192, 1], [2112, 64, 1], [], [64, 1], [], [], [2048, 1]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", ""float"", ""Scalar"", """", ""int""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	4.6472	464	330.14	gemm	missing	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 16, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	Torch-Compiled Region: 4/3	external_id=113285	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	3.5349	1856	62.78	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::narrow | aten::empty_strided | aten::_local_scalar_dense	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[100], [100], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	3.4955	1334	86.37	quant_gemm	missing	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 4/1	external_id=127212	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	3.2717	3712	29.05	moe	missing	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true>)	Torch-Compiled Region: 4/1	external_id=127212	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_high	sharegpt	high	2.1697	8784	8.14	other	missing	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	Torch-Compiled Region: 4/1	external_id=127212	{}
