model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2.5	random_high	random	high	19.1301	7744	111.81	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::transpose | sglang::flashinfer_allreduce_residual_rmsnorm | aten::cat	external_id=51750	"{""Concrete Inputs"": ["""", ""0"", ""1""], ""Input Dims"": [[2112, 7168], [], []], ""Input Strides"": [[7168, 1], [], []], ""Input type"": [""c10::BFloat16"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2.5	random_high	random	high	11.7719	2940	181.23	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256u2_s3_et128x32_m256x32x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | gloo:broadcast | aten::add | aten::_index_put_impl_ | aten::resolve_neg	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2.5	random_high	random	high	8.7779	488	814.13	quant_gemm	ok	True	nvjet_sm100_tst_64x24_64x16_1x2_h_bz_splitK_TNT	aten::as_strided | aten::mm | aten::narrow	external_id=51767	"{""Concrete Inputs"": ["""", ""[38, 8, 128]"", ""[1536, 192, 1]"", ""0""], ""Input Dims"": [[38, 8, 192], [], [], []], ""Input Strides"": [[1536, 192, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2.5	random_high	random	high	7.7171	3360	103.95	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256_s3_et128x32_m256x32x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::cat | aten::view | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[256]], []], ""Input Strides"": [[[1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
moonshotai/Kimi-K2.5	random_high	random	high	6.3270	480	596.60	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x2_h_bz_splitK_TNT	aten::as_strided | aten::mm | aten::empty	external_id=56398	"{""Concrete Inputs"": ["""", ""[512, 2048]"", ""[1, 512]"", """"], ""Input Dims"": [[2048, 512], [], [], []], ""Input Strides"": [[512, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", """"]}"
moonshotai/Kimi-K2.5	random_high	random	high	5.6752	480	535.13	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256u2_s3_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::empty | nccl:all_reduce | sglang::inplace_all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[35552, 7168]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
moonshotai/Kimi-K2.5	random_high	random	high	3.2320	480	304.75	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256_s3_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	nccl:all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[2957, 7168]], ""Input Strides"": [[7168, 1]], ""Input type"": [""c10::BFloat16""]}"
moonshotai/Kimi-K2.5	random_high	random	high	2.5007	3416	33.13	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::as_strided | aten::slice	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[43]"", ""[1]"", ""448""], ""Input Dims"": [[491], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2.5	random_high	random	high	2.3943	3416	31.72	quant_gemm	ok	True	nvjet_sm100_tst_96x64_64x15_2x2_2cta_h_bz_splitK_TNN	aten::as_strided | aten::floor_divide | aten::empty_strided | aten::copy_ | aten::select	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[64], []], ""Input Strides"": [[1], []], ""Input type"": [""int"", ""long int""]}"
moonshotai/Kimi-K2.5	random_high	random	high	2.2408	3360	30.18	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_1x4_h_bz_splitK_TNT	aten::copy_ | aten::cat | aten::select | aten::slice | aten::_to_copy	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[960], [13]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
