model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	28.8772	7744	201.87	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::flashinfer_allreduce_residual_rmsnorm | aten::matmul | aten::unsqueeze	external_id=139104	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[51, 7168], [7168, 512]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	8.1606	960	460.18	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_TNT	aten::mm | aten::empty_strided	external_id=139121	"{""Concrete Inputs"": [""[51, 7168]"", ""[7168, 1]"", ""15"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	6.5998	2400	148.87	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256u2_s3_et128x32_m256x32x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2], [2], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long unsigned int"", ""long unsigned int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	5.9731	976	331.31	quant_gemm	ok	True	nvjet_sm100_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT	aten::mm | aten::view	external_id=140408	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[51, 7168], [7168, 2112]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	4.3722	480	493.11	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256u2_s3_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::mm | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[2668, 8]"", ""6"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	3.8503	2400	86.85	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256_s3_et128x32_m256x32x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2], [2], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long unsigned int"", ""long unsigned int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	3.4037	480	383.87	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x2_h_bz_splitK_TNT	aten::mm | aten::view	external_id=163414	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[65, 7168], [7168, 384]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	3.3524	488	371.89	gemm	ok	True	void fused_a_gemm_kernel<1, 2112, 7168, 16, 16, 256, 12>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)	sgl_kernel::dsv3_fused_a_gemm | aten::copy_	external_id=108687	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[15, 2112], [15, 7168], [7168, 2112]], ""Input Strides"": [[2112, 1], [7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	2.7251	488	302.30	quant_gemm	ok	True	nvjet_sm100_tst_64x40_64x16_1x2_h_bz_splitK_TNT	aten::mm | aten::as_strided	external_id=162383	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[65, 7168], [7168, 2112]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	2.5029	480	282.28	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256_s3_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::empty | nccl:all_reduce | sglang::inplace_all_reduce | aten::expand | aten::alias	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[2668, 7168]], ""Input Strides"": [[7168, 1]], ""Input type"": [""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	sharegpt_high	sharegpt	high	2.3141	1952	64.18	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::cat | aten::as_strided | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[2], [4862]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
