model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/GLM-5-NVFP4	random_low	random	low	17.2432	5580	22.82	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/2	external_id=321	{}
nvidia/GLM-5-NVFP4	random_low	random	low	11.2205	612	135.38	quant_gemm	missing	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_TNT	Torch-Compiled Region: 4/2	external_id=321	{}
nvidia/GLM-5-NVFP4	random_low	random	low	6.7309	7488	6.64	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	random_low	random	low	5.1152	4992	7.57	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::copy_ | aten::add | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[1]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/GLM-5-NVFP4	random_low	random	low	4.6685	2496	13.81	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT	aten::copy_ | aten::_to_copy | aten::argmax | aten::to | aten::empty_like	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[38], [38], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	random_low	random	low	4.5050	4896	6.79	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[3168, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	random_low	random	low	4.2346	3390	9.22	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[3168, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	random_low	random	low	2.9792	2808	7.83	quant_gemm	ok	True	kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeSwizzledKernel_object_at__tensorptrbf16gmemalign16o614461441_tensorptri8gmemalign16o307230721_tensorptri8gmem_0	Torch-Compiled Region: 4/2 | aten::empty	external_id=321	{}
nvidia/GLM-5-NVFP4	random_low	random	low	2.8130	2400	8.65	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::clamp | aten::floor_divide	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[3168, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	random_low	random	low	2.6897	1800	11.03	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::_local_scalar_dense | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[3168, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
