model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	13.2685	6888	33.43	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::as_strided | aten::_reshape_alias | aten::slice | aten::empty_like	external_id=54308	"{""Concrete Inputs"": ["""", ""[17, 12, 128]"", ""[1792, 128, 1]""], ""Input Dims"": [[17, 1536], [], []], ""Input Strides"": [[1792, 1], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	11.8172	2480	82.70	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x32x128u2_s6_et64x32_m64x32x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::slice | aten::as_strided | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[19]"", ""[1]"", ""9392648""], ""Input Dims"": [[51], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	9.2130	1968	81.25	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	aten::as_strided	external_id=61174	"{""Concrete Inputs"": ["""", ""[553, 1536]"", ""[1792, 1]"", ""0""], ""Input Dims"": [[576, 1536], [], [], []], ""Input Strides"": [[1792, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	7.9378	1116	123.45	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	gloo:broadcast | aten::copy_ | aten::sub | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[100], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	5.7026	2480	39.91	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x32x128u2_s6_et64x32_m64x32x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::as_strided | aten::copy_ | aten::slice | sglang::unified_attention_with_output	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[11]"", ""[1]"", ""9884760""], ""Input Dims"": [[395], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	5.0963	3968	22.29	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true>)	gloo:broadcast | aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	4.6894	1426	57.08	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::copy_ | aten::_local_scalar_dense | aten::cat	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	4.6644	2480	32.64	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP32VarSeqQ128Kv128PersistentContext	aten::as_strided	external_id=64255	"{""Concrete Inputs"": ["""", ""[705, 1536]"", ""[1536, 1]"", ""0""], ""Input Dims"": [[768, 1536], [], [], []], ""Input Strides"": [[1536, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	2.9419	1984	25.74	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_1x2_h_bz_splitK_TNT	aten::as_strided | aten::cat | aten::copy_ | aten::slice	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[0], [0], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_high	sharegpt	high	2.3586	3968	10.32	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::copy_ | gloo:broadcast | aten::as_strided | aten::_index_put_impl_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[4097, 8196], [], [100], [], []], ""Input Strides"": [[8196, 1], [], [1], [], []], ""Input type"": [""int"", """", ""int"", ""Scalar"", ""Scalar""]}"
