model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	7.3620	976	322.51	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ16Kv128PersistentSwapsAbForGen	aten::view | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[8661, 16, 576]""], ""Input Dims"": [[8661, 1, 16, 576], []], ""Input Strides"": [[9216, 9216, 576, 1], []], ""Input type"": [""c10::Float8_e4m3fn"", ""ScalarList""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	7.2211	6776	45.56	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3	external_id=1087543	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	7.1915	812	378.67	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	sglang::trtllm_fp8_block_scale_moe_wrapper	external_id=93686	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""256"", ""8"", ""8"", ""4"", ""2048"", ""32"", ""32"", ""2.5"", ""2"", ""False"", ""0"", """", ""16384"", ""1"", ""3""], ""Input Dims"": [[8661, 256], [256], [8661, 7168], [56, 8661], [32, 4096, 7168], [32, 32, 56], [32, 7168, 2048], [32, 56, 16], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[256, 1], [1], [7168, 1], [8661, 1], [29360128, 7168, 1], [1792, 56, 1], [14680064, 2048, 1], [896, 16, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	5.9332	3190	79.52	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	4.7997	928	221.14	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true>)	sglang::trtllm_fp8_block_scale_moe_wrapper	external_id=93686	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""256"", ""8"", ""8"", ""4"", ""2048"", ""32"", ""32"", ""2.5"", ""2"", ""False"", ""0"", """", ""16384"", ""1"", ""3""], ""Input Dims"": [[8661, 256], [256], [8661, 7168], [56, 8661], [32, 4096, 7168], [32, 32, 56], [32, 7168, 2048], [32, 56, 16], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[256, 1], [1], [7168, 1], [8661, 1], [29360128, 7168, 1], [1792, 56, 1], [14680064, 2048, 1], [896, 16, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	3.9007	928	179.72	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::trtllm_fp8_block_scale_moe_wrapper	external_id=93686	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""256"", ""8"", ""8"", ""4"", ""2048"", ""32"", ""32"", ""2.5"", ""2"", ""False"", ""0"", """", ""16384"", ""1"", ""3""], ""Input Dims"": [[8661, 256], [256], [8661, 7168], [56, 8661], [32, 4096, 7168], [32, 32, 56], [32, 7168, 2048], [32, 56, 16], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[256, 1], [1], [7168, 1], [8661, 1], [29360128, 7168, 1], [1792, 56, 1], [14680064, 2048, 1], [896, 16, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	3.7969	8784	18.48	other	ok	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	sglang::hadamard_transform	external_id=93831	"{""Concrete Inputs"": ["""", ""0.088388347648318447""], ""Input Dims"": [[8661, 64, 128], []], ""Input Strides"": [[8192, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	3.1846	464	293.45	gemm	missing	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 16, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	Torch-Compiled Region: 4/3	external_id=1087543	{}
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	3.0875	3132	42.15	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::add | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	sharegpt_mid	sharegpt	mid	3.0792	2440	53.96	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 240u, 128u, 128u, 1u, 128u, 128u, 128u, 6u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	sglang::deep_gemm_fp8_fp8_bf16_nt	external_id=84233	"{""Concrete Inputs"": ["""", """", """", """", """"], ""Input Dims"": [[8661, 7168], [8661, 14], [4608, 7168], [4608, 14], [8661, 4608]], ""Input Strides"": [[7168, 1], [1, 8664], [7168, 1], [1, 4608], [4608, 1]], ""Input type"": [""c10::Float8_e4m3fn"", ""int"", ""c10::Float8_e4m3fn"", ""int"", ""c10::BFloat16""]}"
