model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	27.8403	252	238.15	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x8x256u2_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::resolve_neg | aten::argmax | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[100, 131072], [], []], ""Input Strides"": [[131072, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	14.4467	252	123.58	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x256u2_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::resolve_neg | aten::empty_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[100]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	11.0208	72	329.96	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x64x256_s5_et128x64_m256x64x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_lbW8_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=32264	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""2048"", ""3""], ""Input Dims"": [[1738, 128], [], [1738, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	6.5476	504	28.00	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi17ELi2ELi4ENS5_IJNS4_1CILi2EEESB_NSA_ILi1EEEEEEEENS5_IJNSA_ILi256EEENSA_ILi128EEENSA_ILi64EEEEEENS_12float_e4m3_tENS5_IJlSC_lEEESJ_SK_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_25SM100_MMA_F8F6F4_2x1SM_SSEJSJ_SJ_fSF_SG_NS4_17integral_constantINS4_4UMMA5MajorELSR_0EEESS_NSP_INSQ_7ScaleInELST_0EEESU_EEEEEENS4_6LayoutINS5_IJSC_SC_SC_EEENS5_IJNSA_ILi0EEESZ_SZ_EEEEENS5_IJNS4_10UnderscoreES12_S12_EEEEENS4_28SM100_TMA_2SM_LOAD_MULTICASTENS4_14ComposedLayoutINS4_7SwizzleILi2ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSX_INS5_IJNSA_ILi8EEESH_EEENS5_IJSH_SC_EEEEEEEvNS4_8identityENS4_18SM100_TMA_2SM_LOADES1F_vS1G_EENS_8epilogue10collective18CollectiveEpilogueINS1J_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJNS5_IJSG_SG_SH_EEENS5_IJNSX_ISG_SC_EENSX_INSA_ILi32EEESC_EEEEEvSK_NS_10bfloat16_tESK_NS1J_6fusion15Sm90TreeVisitorINS1U_11Sm90ComputeINS_10multipliesES1T_fLNS_15FloatRoundStyleE2EvEEJNS1U_16Sm90ColBroadcastILi0ESI_ffNS5_IJSC_SZ_SZ_EEELi4ELb1EEENS1V_INS1W_IS1X_ffLS1Y_2EvEEJNS1U_16Sm90RowBroadcastILi0ESI_ffNS5_IJSZ_SC_SZ_EEELi4ELb1EEENS1U_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS4_13SM90_TMA_LOADENS16_IS18_NS19_ILi16EEENSX_INS5_IJS1B_S1Q_EEENS5_IJS1Q_SC_EEEEEEENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS4_14SM90_TMA_STOREES2J_S2L_S2L_EEEvvEEEEvNT_6ParamsE	sgl_kernel::fp8_scaled_mm	external_id=26229	"{""Concrete Inputs"": ["""", """", """", """", ""15"", """"], ""Input Dims"": [[28224, 256], [256, 6144], [28224, 1], [6144, 1], [], []], ""Input Strides"": [[256, 1], [1, 256], [1, 1], [1, 1], [], []], ""Input type"": [""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""Scalar"", """"]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	3.6310	1080	7.25	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi13ELi2ELi4ENS5_IJNS4_1CILi2EEENSA_ILi1EEESC_EEEEENS5_IJNSA_ILi128EEESF_SF_EEENS_12float_e4m3_tENS5_IJlSC_lEEESH_SI_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_25SM100_MMA_F8F6F4_2x1SM_SSEJSH_SH_fSF_SF_NS4_17integral_constantINS4_4UMMA5MajorELSP_0EEESQ_NSN_INSO_7ScaleInELSR_0EEESS_EEEEEENS4_6LayoutINS5_IJSC_SC_SC_EEENS5_IJNSA_ILi0EEESX_SX_EEEEENS5_IJNS4_10UnderscoreES10_S10_EEEEENS4_18SM100_TMA_2SM_LOADENS4_14ComposedLayoutINS4_7SwizzleILi3ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSV_INS5_IJNSA_ILi8EEESF_EEENS5_IJSF_SC_EEEEEEEvNS4_8identityES13_S1D_vS1E_EENS_8epilogue10collective18CollectiveEpilogueINS1G_23Sm100TmaWarpSpecializedILi2ELi2ELi32ELb0ELb1EEEJNS5_IJNSA_ILi64EEESF_SF_EEENS5_IJNSV_IS1L_SC_EENSV_INS5_IJNSA_ILi32EEESB_EEENS5_IJSC_S1L_EEEEEEEEvSI_NS_10bfloat16_tESI_NS1G_6fusion15Sm90TreeVisitorINS1U_11Sm90ComputeINS_10multipliesES1T_fLNS_15FloatRoundStyleE2EvEEJNS1U_16Sm90ColBroadcastILi0ESG_ffNS5_IJSC_SX_SX_EEELi4ELb1EEENS1V_INS1W_IS1X_ffLS1Y_2EvEEJNS1U_16Sm90RowBroadcastILi0ESG_ffNS5_IJSX_SC_SX_EEELi4ELb1EEENS1U_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS4_13SM90_TMA_LOADENS14_INS15_ILi2ELi4ELi3EEENS17_ILi16EEENSV_INS5_IJS19_S1O_EEENS5_IJS1O_SC_EEEEEEENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS4_14SM90_TMA_STOREES2K_S2M_S2M_EEEvvEEEEvNT_6ParamsE	aten::copy_ | aten::add | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[100]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	3.5546	72	106.42	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128SeparateQkvDenseVarSeqQ128Kv128PersistentContext	aten::view | sgl_kernel::merge_state_v2 | aten::empty | sgl_kernel::fp8_scaled_mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", """", """", """", """"], ""Input Dims"": [[1738, 32, 128], [1738, 32], [1738, 32, 128], [1738, 32], [1738, 32, 128], [1738, 32]], ""Input Strides"": [[4096, 128, 1], [32, 1], [4096, 128, 1], [32, 1], [4096, 128, 1], [32, 1]], ""Input type"": [""c10::BFloat16"", ""float"", ""c10::BFloat16"", ""float"", ""c10::BFloat16"", ""float""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	3.0158	36	180.58	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128_s8_et128x64_m256x64x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=32264	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""2048"", ""3""], ""Input Dims"": [[1738, 128], [], [1738, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	2.8601	36	171.26	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s8_et128x64_m256x64x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=39474	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""2048"", ""3""], ""Input Dims"": [[1215, 128], [], [1215, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	2.5789	216	25.74	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk320HV256PagedKvDenseP64VarSeqQ16Kv128PersistentSwapsAbForGen	aten::copy_ | aten::resolve_neg | aten::as_strided | aten::add | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[100]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
mistralai/Mistral-Small-4-119B-2603	random_high	random	high	2.1368	1800	2.56	quant_gemm	ok	True	_static_quant_fp8	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[28224, 1]"", ""6"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
