model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	21.6822	540	16.22	moe	ok	True	fused_moe_kernel	sglang::inplace_fused_experts	external_id=31812	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""True"", ""False"", ""False"", ""False"", ""False"", ""False"", ""False"", """", """", """", """", """", """", """", """", """", """", ""False"", """"], ""Input Dims"": [[17, 2816], [128, 1408, 2816], [128, 2816, 704], [17, 8], [17, 8], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[2816, 1], [3964928, 2816, 1], [1982464, 704, 1], [8, 1], [8, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""float"", ""int"", """", """", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """", """", """", """", ""Scalar"", """"]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	11.0238	510	8.73	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::_to_copy | aten::_index_put_impl_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	8.7104	270	13.03	gemm	ok	True	_gemma_qkv_rmsnorm_kernel	aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[17, 2048]"", ""[8192, 1]"", ""6144""], ""Input Dims"": [[17, 8192], [], [], []], ""Input Strides"": [[8192, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	8.0372	1089	2.98	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign16o28161_tensorptrbf16gmemalign128o281628161___True_4__0	aten::copy_ | aten::resolve_neg | aten::reshape | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	5.2966	280	7.64	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[4096, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	5.2007	200	10.50	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::add | aten::sub | aten::copy_ | aten::as_strided | aten::index	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	4.8999	9	219.89	quant_gemm	ok	True	nvjet_sm100_tst_256x8_64x6_2x1_v_bz_TNT	aten::copy_ | aten::mm | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	4.1367	200	8.35	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H256PagedKvSlidingOrChunkedCausalP64MultiCtasKvCgaVarSeqQ8Kv128StaticSwapsAbForGen	aten::resolve_neg | aten::as_strided | aten::add | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 262144]"", ""[262144, 1]"", ""0""], ""Input Dims"": [[1, 262144], [], [], []], ""Input Strides"": [[262144, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	2.5777	240	4.34	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::cumsum | aten::add | aten::to | aten::remainder	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	sharegpt_low	sharegpt	low	2.2204	270	3.32	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign_0	aten::empty_strided | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[17, 2816]"", ""[2816, 1]"", ""15"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
