model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	17.6577	4356	23.31	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/2	external_id=296	{}
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	11.6007	476	140.17	quant_gemm	missing	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_TNT	Torch-Compiled Region: 4/2	external_id=296	{}
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	8.0362	5422	8.52	gemm	missing	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	Torch-Compiled Region: 4/2	external_id=296	{}
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	4.3240	3904	6.37	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[2560, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	3.7658	1952	11.10	gemm	ok	True	void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)	aten::copy_ | aten::_index_put_impl_ | aten::argmax | aten::cat | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[4097], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", """", ""long int"", ""Scalar"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	3.1881	2196	8.35	quant_gemm	ok	True	kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeSwizzledKernel_object_at__tensorptrbf16gmemalign16o716871681_tensorptri8gmemalign16o358435841_tensorptri8gmem_0	Torch-Compiled Region: 4/2 | aten::empty_strided	external_id=296	{}
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	3.1485	1952	9.28	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::resolve_neg | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	2.6663	1952	7.86	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta128PagedKvDenseStaticTokenSparseP1MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen	gloo:broadcast | aten::_to_copy | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	2.6229	1450	10.40	quant_gemm	missing	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16tokFp32_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 4/2	external_id=296	{}
nvidia/DeepSeek-V3.2-NVFP4	random_low	random	low	2.4233	1392	10.01	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::add | aten::index	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[2560, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
