model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	17.7737	1512	304.75	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	sglang::unified_attention_with_output | aten::floor_divide | aten::reshape | aten::permute | aten::view	external_id=13394	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[20], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	11.9418	1034	299.41	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::empty | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[6]"", ""[1]"", ""5767896""], ""Input Dims"": [[646], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	8.0326	940	221.54	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[10735, 1024], [10735, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	5.6608	10472	14.01	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | sglang::unified_attention_with_output | aten::item	external_id=7269	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	5.2776	9024	15.16	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::clone	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32, 16], [32, 16], []], ""Input Strides"": [[4096, 1], [16, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	4.0798	1504	70.33	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::copy_ | aten::floor_divide	external_id=13394	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[20], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	4.0691	1496	70.52	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	sglang::unified_attention_with_output | aten::copy_ | aten::floor_divide	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""12"", """", """", """", """", """", """", """"], ""Input Dims"": [[448, 1024], [448, 1, 128], [448, 1, 128], [448, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	3.9402	1520	67.20	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	aten::empty | aten::copy_ | sglang::unified_attention_with_output | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""85"", """", """", """", """", """", """", """"], ""Input Dims"": [[10752, 1024], [10752, 1, 128], [10752, 1, 128], [10752, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	3.7543	1692	57.52	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s6_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[32]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_mid	random	mid	3.1086	2820	28.58	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s6_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::empty | gloo:broadcast | aten::copy_ | c10d::broadcast_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
