model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
poolside/Laguna-XS.2-FP8	random_mid	random	mid	20.2027	2808	40.28	moe	ok	True	fused_moe_kernel	sglang::unified_attention_with_output	external_id=10066	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""4"", """", """", """"], ""Input Dims"": [[11264, 1536], [11264, 2, 128], [11264, 2, 128], [11264, 1536], [], [], [], [], []], ""Input Strides"": [[2048, 1], [2048, 128, 1], [2048, 128, 1], [1536, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """"]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	9.6569	324	166.88	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	Torch-Compiled Region: 5/1 | sglang::unified_attention_with_output	external_id=9932	{}
poolside/Laguna-XS.2-FP8	random_mid	random	mid	6.5724	156	235.89	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_64x64x16_1x1x1_3_tnn_align1_bias_f32_relu	sglang::unified_attention_with_output	external_id=10066	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""4"", """", """", """"], ""Input Dims"": [[11264, 1536], [11264, 2, 128], [11264, 2, 128], [11264, 1536], [], [], [], [], []], ""Input Strides"": [[2048, 1], [2048, 128, 1], [2048, 128, 1], [1536, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """"]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	6.0547	2592	13.08	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::copy_ | aten::empty_strided | aten::permute | Torch-Compiled Region: 5/3	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32, 16], [32, 16], []], ""Input Strides"": [[4096, 1], [16, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	4.0572	960	23.66	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	aten::empty_strided | aten::permute | Torch-Compiled Region: 5/3	external_id=8110	"{""Concrete Inputs"": [""[140, 16, 128]"", ""[2048, 128, 1]"", ""15"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	3.7007	1248	16.60	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	Torch-Compiled Region: 5/3 | aten::resize_ | aten::view | aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[32]"", """"], ""Input Dims"": [[0], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""long int"", ""ScalarList"", """"]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	3.3764	2880	6.56	memory_bound	ok	True	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)	sglang::unified_attention_with_output | Torch-Compiled Region: 5/1	external_id=10066	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""4"", """", """", """"], ""Input Dims"": [[11264, 1536], [11264, 2, 128], [11264, 2, 128], [11264, 1536], [], [], [], [], []], ""Input Strides"": [[2048, 1], [2048, 128, 1], [2048, 128, 1], [1536, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """"]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	3.1608	320	55.30	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	sglang::unified_attention_with_output | Torch-Compiled Region: 5/1	external_id=10066	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""4"", """", """", """"], ""Input Dims"": [[11264, 1536], [11264, 2, 128], [11264, 2, 128], [11264, 1536], [], [], [], [], []], ""Input Strides"": [[2048, 1], [2048, 128, 1], [2048, 128, 1], [1536, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """"]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	2.4222	1920	7.06	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o204820481_tensorptrbf16gmemalign128o204820481_tensorptrbf16gmemalign_0	aten::copy_ | aten::as_strided | aten::neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32, 16], [32, 16], []], ""Input Strides"": [[4096, 1], [16, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_mid	random	mid	2.2771	2844	4.48	other	ok	True	void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)0, true, false>((anonymous namespace)::ActivationParams)	sglang::unified_attention_with_output | Torch-Compiled Region: 5/1	external_id=9932	{}
