model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	10.0074	10472	19.65	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::as_strided | aten::permute	external_id=20515	"{""Concrete Inputs"": ["""", ""[0, 2, 1, 3]""], ""Input Dims"": [[26751, 64, 1, 128], []], ""Input Strides"": [[8192, 128, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	5.7128	1034	113.62	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::as_strided	external_id=30441	"{""Concrete Inputs"": ["""", ""[2358, 1, 128]"", ""[1280, 128, 1]"", ""0""], ""Input Dims"": [[2560, 1, 128], [], [], []], ""Input Strides"": [[1280, 128, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	5.5413	1496	76.18	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	aten::view | aten::copy_	external_id=26552	"{""Concrete Inputs"": ["""", ""[409, 1024]""], ""Input Dims"": [[409, 1024], []], ""Input Strides"": [[1024, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	5.5236	1410	80.56	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128_s4_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	gloo:broadcast | aten::as_strided | aten::resolve_neg | aten::narrow | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""832"", ""49""], ""Input Dims"": [[881], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	4.0462	3760	22.13	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_2x1_2cta_v_bz_TNT	aten::copy_ | aten::as_strided | aten::cat	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[0], [0], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	3.8365	3760	20.98	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_splitK_TNT	aten::cat | aten::as_strided | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[192], [5]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	3.6669	940	80.23	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s4_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | aten::copy_ | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[104, 17], [104, 17], []], ""Input Strides"": [[4096, 1], [17, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	3.5806	1880	39.17	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s5_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::add | aten::as_strided | aten::to | aten::_to_copy | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[0]"", ""[1]"", ""93586836""], ""Input Dims"": [[8], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	3.3829	3008	23.13	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64VarSeqQ128Kv128PersistentContext	aten::as_strided | sglang::unified_attention_with_output	external_id=30213	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[2560, 1024], [2560, 1, 128], [2560, 1, 128], [2560, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_high	random	high	3.1205	6016	10.67	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::as_strided | aten::copy_	external_id=30441	"{""Concrete Inputs"": ["""", ""[2358, 1, 128]"", ""[1280, 128, 1]"", ""0""], ""Input Dims"": [[2560, 1, 128], [], [], []], ""Input Strides"": [[1280, 128, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
