model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	16.9972	3976	26.27	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 1/3	external_id=26913	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	12.4524	3456	22.14	quant_gemm	missing	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_bias_TNN	Torch-Compiled Region: 1/3	external_id=34900	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	11.8919	1168	62.56	comm	missing	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	Torch-Compiled Region: 1/2	external_id=29581	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	5.0636	288	108.03	quant_gemm	missing	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_bias_TNT	Torch-Compiled Region: 1/3	external_id=26913	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	3.8455	360	65.63	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x128x256_s4x4x4x4x1x4_et128x32_m256x128x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	Torch-Compiled Region: 1/2 | aten::index_put_	external_id=31354	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	3.4292	1188	17.74	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x8x512u2_s3_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	Torch-Compiled Region: 1/3 | aten::_index_put_impl_	external_id=26913	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	2.9120	360	49.70	quant_gemm	missing	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x128x128_s7_et128x64_m256x128x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 1/2	external_id=31354	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	2.8136	1260	13.72	quant_gemm	ok	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x8x256u2_s4_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::as_strided | aten::copy_ | aten::_index_put_impl_ | aten::resolve_neg | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[50]"", ""[1]"", ""110759220""], ""Input Dims"": [[50], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	2.2924	2592	5.43	quant_gemm	missing	True	void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)2, __nv_bfloat16, 32, true, false, false, false, std::integral_constant<bool, false> >(int, int, int, int, __nv_bfloat16 const*, float const*, void*, unsigned int*, flashinfer::QuantizationSFLayout)	Torch-Compiled Region: 1/2	external_id=31354	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	2.2910	216	65.17	quant_gemm	missing	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x128x256u2_s4x4x4x4x1x4_et128x32_m256x128x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	Torch-Compiled Region: 1/2	external_id=31354	{}
openai/gpt-oss-120b	sharegpt_mid	sharegpt	mid	2.2429	1168	11.80	norm	missing	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	Torch-Compiled Region: 1/2	external_id=29581	{}
