model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	12.5680	1936	220.95	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	Torch-Compiled Region: 4/1	external_id=1059449	{}
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	11.2533	2784	137.58	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_ | aten::as_strided | aten::add | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[163844]"", ""[1]"", ""62424564""], ""Input Dims"": [[4097, 163844], [], [], []], ""Input Strides"": [[163844, 1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	10.5025	6776	52.75	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/2	external_id=36465	{}
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	5.5945	2784	68.40	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::add | aten::copy_ | aten::to | aten::view | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[100], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	5.3331	928	195.60	quant_gemm	missing	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	Torch-Compiled Region: 4/1	external_id=43863	{}
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	4.5943	3904	40.05	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ16Kv128PersistentSwapsAbForGen	sglang::unified_attention_with_output	external_id=43908	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""0"", """", """", """", """", ""False"", """", """"], ""Input Dims"": [[1792, 16, 512], [1792, 1, 512], [1792, 1, 512], [1792, 8192], [], [], [1792, 16, 64], [1792, 1, 64], [], [164096, 64], [], [], [1792, 2048]], ""Input Strides"": [[512, 917504, 1], [512, 512, 1], [512, 512, 1], [8192, 1], [], [], [3072, 192, 1], [2112, 64, 1], [], [64, 1], [], [], [2048, 1]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", ""float"", ""Scalar"", """", ""int""]}"
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	4.1190	464	302.15	quant_gemm	missing	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_TNT	Torch-Compiled Region: 4/2	external_id=36465	{}
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	3.4602	4176	28.20	moe	missing	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true>)	Torch-Compiled Region: 4/1	external_id=43863	{}
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	2.4798	870	97.01	quant_gemm	missing	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 4/1	external_id=43863	{}
deepseek-ai/DeepSeek-Math-V2	random_high	random	high	2.2346	8784	8.66	other	missing	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	Torch-Compiled Region: 4/1	external_id=43863	{}
