model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	19.3778	5580	26.75	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3	external_id=100125	{}
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	18.0137	5508	25.19	quant_gemm	missing	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	Torch-Compiled Region: 4/3	external_id=100125	{}
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	6.4612	7488	6.65	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::as_strided | aten::slice | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""0""], ""Input Dims"": [[512], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	4.9047	4992	7.57	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::copy_ | aten::empty | aten::as_strided | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[1]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	4.4711	2496	13.80	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT	aten::copy_ | aten::add | aten::_foreach_copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[[1]], [[1]], []], ""Input Strides"": [[[1]], [[1]], []], ""Input type"": [""TensorList"", ""TensorList"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	4.0338	3318	9.36	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	aten::copy_ | aten::add | aten::reshape	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	2.7857	2808	7.64	quant_gemm	missing	True	kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeSwizzledKernel_object_at__tensorptrbf16gmemalign16o614461441_tensorptri8gmemalign16o307230721_tensorptri8gmem_0	Torch-Compiled Region: 4/3	external_id=100125	{}
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	2.6916	2400	8.64	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[3168, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	2.5597	1800	10.95	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schedS_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::add | aten::_local_scalar_dense	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_low	sharegpt	low	2.2947	2298	7.69	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK21111000_PermutationMNK____MMAAtom_ThrID2_0	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[3168, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
