model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
poolside/Laguna-XS.2-FP8	random_high	random	high	15.8944	2808	23.14	moe	ok	True	fused_moe_kernel	Torch-Compiled Region: 5/2 | aten::cat	external_id=21160	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[704]], []], ""Input Strides"": [[[1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	10.0809	2592	15.90	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::copy_ | Torch-Compiled Region: 5/3	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[104, 16], [104, 16], []], ""Input Strides"": [[4096, 1], [16, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	5.4899	1248	17.98	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	aten::resolve_neg | aten::as_strided | aten::_unique2 | aten::cat | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[0]"", ""[1]"", ""320""], ""Input Dims"": [[64], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	4.1875	1280	13.37	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	Torch-Compiled Region: 5/3 | aten::slice	external_id=14168	{}
poolside/Laguna-XS.2-FP8	random_high	random	high	4.1546	324	52.42	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 4u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	aten::cat | Torch-Compiled Region: 5/2	external_id=21160	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[704]], []], ""Input Strides"": [[[1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	3.7677	480	32.09	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvSlidingOrChunkedCausalP64VarSeqQ128Kv128PersistentContext	sglang::unified_attention_with_output | aten::narrow	external_id=22341	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""19"", """", """", """"], ""Input Dims"": [[2560, 2048], [2560, 2, 128], [2560, 2, 128], [2560, 2048], [], [], [], [], []], ""Input Strides"": [[2560, 1], [2560, 128, 1], [2560, 128, 1], [2048, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """"]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	3.2708	156	85.71	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_tnn_align1_bias_f32_relu	Torch-Compiled Region: 5/2 | aten::cat	external_id=21160	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[704]], []], ""Input Strides"": [[[1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	3.0893	1600	7.89	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o204820481_tensorptrbf16gmemalign128o204820481_tensorptrbf16gmemalign_0	aten::add | aten::copy_ | aten::as_strided | aten::resize_ | aten::empty_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[100], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	2.4759	2060	4.91	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::view | aten::cat | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[100]""], ""Input Dims"": [[100], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
poolside/Laguna-XS.2-FP8	random_high	random	high	2.2799	600	15.53	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvSlidingOrChunkedCausalP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::narrow | aten::empty | aten::cat | aten::copy_ | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""192""], ""Input Dims"": [[192], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar""]}"
