model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	12.3222	3388	53.11	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/2 | Torch-Compiled Region: 4/3	external_id=151589	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	7.2042	968	108.67	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 4>, std::array<int, 4>)	Torch-Compiled Region: 4/1 | detach_ | aten::as_strided	external_id=132757	"{""Concrete Inputs"": [""""], ""Input Dims"": [[34]], ""Input Strides"": [[1]], ""Input type"": [""int""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	6.4852	1952	48.51	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ32Kv128PersistentSwapsAbForGen	sglang::unified_attention_with_output | aten::slice	external_id=144471	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""1748"", ""1""], ""Input Dims"": [[1792], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	5.3158	232	334.56	gemm	missing	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 16, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	Torch-Compiled Region: 4/3	external_id=126672	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	5.1857	580	130.55	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x16x512_s5_et128x16_m128x16x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | gloo:broadcast | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	4.4053	348	184.84	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	Torch-Compiled Region: 4/1 | aten::as_strided	external_id=141281	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	4.2660	464	134.25	quant_gemm	missing	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x32x512u2_s4_et128x32_m128x32x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	Torch-Compiled Region: 4/2	external_id=151589	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	3.0109	406	108.28	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided | aten::add | gloo:broadcast	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[97], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	2.7405	580	68.99	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x16x512_s5_et128x16_m256x16x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::resolve_neg | gloo:broadcast | aten::index	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[3], [3], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long unsigned int"", ""long unsigned int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	2.6129	3587	10.64	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK21111000_PermutationMNK____MMAAtom_ThrID2_0	Torch-Compiled Region: 4/1 | aten::as_strided	external_id=141281	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	2.5433	522	71.14	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x32x512_s4_et128x32_m256x32x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	Torch-Compiled Region: 4/2 | aten::slice	external_id=151589	{}
nvidia/DeepSeek-V3.2-NVFP4	sharegpt_high	sharegpt	high	2.4665	4392	8.20	other	missing	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	Torch-Compiled Region: 4/1	external_id=141281	{}
