model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
google/gemma-4-26B-A4B-it	random_low	random	low	22.8746	540	17.39	moe	ok	True	fused_moe_kernel	sglang::inplace_fused_experts	external_id=457	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""True"", ""False"", ""False"", ""False"", ""False"", ""False"", ""False"", """", """", """", """", """", """", """", """", """", """", ""False"", """"], ""Input Dims"": [[38, 2816], [128, 1408, 2816], [128, 2816, 704], [38, 8], [38, 8], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[2816, 1], [3964928, 2816, 1], [1982464, 704, 1], [8, 1], [8, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""float"", ""int"", """", """", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """", """", """", """", ""Scalar"", """"]}"
google/gemma-4-26B-A4B-it	random_low	random	low	10.3951	480	8.89	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::argmax | aten::_local_scalar_dense | aten::empty_strided | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 262144], [], []], ""Input Strides"": [[262144, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	8.5706	270	13.03	gemm	ok	True	_gemma_qkv_rmsnorm_kernel	aten::as_strided | aten::view | aten::_reshape_alias | aten::matmul	external_id=889	"{""Concrete Inputs"": ["""", ""[38, 8, 256]"", ""[8192, 256, 1]""], ""Input Dims"": [[38, 2048], [], []], ""Input Strides"": [[8192, 1], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	7.9007	1089	2.98	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign16o28161_tensorptrbf16gmemalign128o281628161___True_4__0	aten::copy_ | aten::sub | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[4096, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	5.2009	280	7.63	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT	aten::copy_ | aten::add | aten::to	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[4096, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	5.1084	200	10.49	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::copy_ | aten::_index_put_impl_ | aten::index | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[2049], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", """", ""long int"", ""Scalar"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	4.8228	9	220.01	quant_gemm	ok	True	nvjet_sm100_tst_256x8_64x6_2x1_v_bz_TNT	aten::copy_ | aten::mm | aten::add | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	4.0688	200	8.35	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H256PagedKvSlidingOrChunkedCausalP64MultiCtasKvCgaVarSeqQ8Kv128StaticSwapsAbForGen	aten::resolve_neg | aten::_foreach_copy_ | aten::_local_scalar_dense | aten::index	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	2.5360	240	4.34	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::add | aten::as_strided | aten::_foreach_copy_ | aten::reshape | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[38]"", ""[1]"", ""0""], ""Input Dims"": [[38], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
google/gemma-4-26B-A4B-it	random_low	random	low	2.1958	270	3.34	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign128o281628161_tensorptrbf16gmemalign_0	aten::empty_strided | aten::view | aten::as_strided | aten::copy_	external_id=2404	"{""Concrete Inputs"": ["""", ""[-1, 2048]""], ""Input Dims"": [[38, 8, 256], []], ""Input Strides"": [[8192, 256, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
